zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
2038,42.08622,-71.41126,Franklin,MA,Massachusetts,TRUE,,33067,479.3,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2043,42.21678,-70.88494,Hingham,MA,Massachusetts,TRUE,,24185,421,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2045,42.28437,-70.88266,Hull,MA,Massachusetts,TRUE,,10098,1458.3,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2047,42.14582,-70.69603,Humarock,MA,Massachusetts,TRUE,,142,95.1,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2048,42.01626,-71.21868,Mansfield,MA,Massachusetts,TRUE,,23855,458.1,25005,Bristol,"{""25005"": 100}",Bristol,25005,FALSE,FALSE,America/New_York
2050,42.11443,-70.71487,Marshfield,MA,Massachusetts,TRUE,,25903,347.7,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2052,42.1848,-71.30501,Medfield,MA,Massachusetts,TRUE,,12923,346.3,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2053,42.15352,-71.42906,Medway,MA,Massachusetts,TRUE,,13251,443.5,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2054,42.1693,-71.36261,Millis,MA,Massachusetts,TRUE,,8699,279.1,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2056,42.11632,-71.32952,Norfolk,MA,Massachusetts,TRUE,,11556,299.5,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2061,42.16075,-70.81772,Norwell,MA,Massachusetts,TRUE,,11309,208.6,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2062,42.18563,-71.19464,Norwood,MA,Massachusetts,TRUE,,31380,1148.5,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2066,42.20129,-70.76155,Scituate,MA,Massachusetts,TRUE,,18895,442.2,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2067,42.10778,-71.18183,Sharon,MA,Massachusetts,TRUE,,18478,314.5,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2071,42.10392,-71.27002,South Walpole,MA,Massachusetts,TRUE,,1677,673.1,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2072,42.1192,-71.10189,Stoughton,MA,Massachusetts,TRUE,,29074,697.8,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2081,42.14689,-71.25916,Walpole,MA,Massachusetts,TRUE,,19703,429.2,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2090,42.22024,-71.21057,Westwood,MA,Massachusetts,TRUE,,16213,574.8,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2093,42.05129,-71.35522,Wrentham,MA,Massachusetts,TRUE,,12305,218.9,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2108,42.35657,-71.06516,Boston,MA,Massachusetts,TRUE,,4178,5890.1,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2109,42.36498,-71.05277,Boston,MA,Massachusetts,TRUE,,3714,8456.3,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2110,42.35797,-71.05189,Boston,MA,Massachusetts,TRUE,,2178,4701,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2111,42.35067,-71.06054,Boston,MA,Massachusetts,TRUE,,8067,15890.8,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
